Client,Cradle-to-Grave Addition,Product,Product Stage,Scope,Impact Category,Step,Default Item,Emissions (kg CO2e),Plastic (kg),Water (m3),Amount of input assessed,Unit,
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Cocoa beans,"Cocoa beans, at farm - GLO",0.4959,,0.0271,0.019,kg,"Imported from SimaPro, Average of modeled countries three countries modeled represent 56% of the global export : Ivory Coast (29%), Indonesia (16%) and Ghana (10%)  (FAOSTAT, 2010), combined cocoa and cocoa powder"
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Cocoa beans transportation,"Cocoa beans, transportation, ship",0.0011,,0.0000,120.631,kgkm,Cocoa from Peru- 6349 km
Revol Snax,,Revol Snax,Raw Material,3,Direct Combustion,Organic sunflower lecithin,"Soybean oil and lecithin, France, at french mill, not deforestation  - FR",0.0885,,0.0007,0.001,kg,Proxy for sunflower lecithin
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Organic sunflower lecithin transportation,"Soybean oil and lecithin, transportation",0.0000,,0.0000,0,kgkm,Origin not provided
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Hazelnut,"Hazelnut, processed in FR | Ambient (long) | No packaging | at distribution - FR",0.0349,,0.0031,0.008,kg,
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Hazelnut transportation,"Hazelnut, transportation, truck",0.0041,,0.0000,36.416,kgkm,"Hazelnuts from Hubbard, Oregon, 4552 km"
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Almond,almond production - US,0.0292,,0.0229,0.01,kg,
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Almond transportation,"Almond, Transportation, truck",0.0051,,0.0000,44.98,kgkm,"almond from California, CA, 4498 km "
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Non-GMO allulose,"Fructose, production, at plant - FR",0.0225,,0.0008,0.018,kg,"Allulose is the sugary component of dates and raisin. On a scale, made from fructose through enzymatic reaction."
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Non-GMO allulose transportation,"Fuctose, transportation, truck",0.0002,,0.0000,1.8,kgkm,Fructose/allulose from USA. Assumed to be 100 km away
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Coconut oil,"coconut oil production, crude - PH",0.0191,,0.0058,0.006,kg,
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Coconut oil transportation,"Coconut oil, transportation, ship",0.0007,,0.0000,83.55,kgkm,"Coconut oil from Phillipines, 13925"
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Almond Milling,"Global milling process; soft wheat, steel-roller-milled, industrial production; French production mix, at plant; 1 kg bagged flour at the exit gate  (PDi) - RER",0.0079,,0.0001,0.015,kg,Included for cocoa powder and almond flour
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Hemp,"Hemp, grain, Champagne, at farm gate - FR",0.0072,,0.0000,0.013,kg,
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Hemp transportation,"Hemp, transportation, truck",0.0037,,0.0000,32.669,kgkm,"Hemp from Manitoba, Canada, 2513 km"
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Coconut,"coconut production, dehusked - IN",0.0065,,0.0002,0.021,kg,
Revol Snax,,Chocolate Almond,Raw Material,3,Direct Combustion,Coconut transportation,"Coconut, transportation, ship",0.0026,,0.0000,300.741,kgkm,"Coconut from Sri Lanka, 14321 km"
